"inventory_id","film_id","film_title","release_year","language_id","store_id","last_update"
46,10,Aladdin Calendar,2006,1,1,2006-02-15 10:09:17.000
47,10,Aladdin Calendar,2006,1,1,2006-02-15 10:09:17.000
48,10,Aladdin Calendar,2006,1,1,2006-02-15 10:09:17.000
49,10,Aladdin Calendar,2006,1,1,2006-02-15 10:09:17.000
50,10,Aladdin Calendar,2006,1,2,2006-02-15 10:09:17.000
51,10,Aladdin Calendar,2006,1,2,2006-02-15 10:09:17.000
52,10,Aladdin Calendar,2006,1,2,2006-02-15 10:09:17.000
53,11,Alamo Videotape,2006,1,1,2006-02-15 10:09:17.000
54,11,Alamo Videotape,2006,1,1,2006-02-15 10:09:17.000
55,11,Alamo Videotape,2006,1,1,2006-02-15 10:09:17.000
56,11,Alamo Videotape,2006,1,1,2006-02-15 10:09:17.000
57,11,Alamo Videotape,2006,1,2,2006-02-15 10:09:17.000
58,11,Alamo Videotape,2006,1,2,2006-02-15 10:09:17.000
59,11,Alamo Videotape,2006,1,2,2006-02-15 10:09:17.000
60,12,Alaska Phantom,2006,1,1,2006-02-15 10:09:17.000
61,12,Alaska Phantom,2006,1,1,2006-02-15 10:09:17.000
62,12,Alaska Phantom,2006,1,1,2006-02-15 10:09:17.000
63,12,Alaska Phantom,2006,1,2,2006-02-15 10:09:17.000
64,12,Alaska Phantom,2006,1,2,2006-02-15 10:09:17.000
65,12,Alaska Phantom,2006,1,2,2006-02-15 10:09:17.000
66,12,Alaska Phantom,2006,1,2,2006-02-15 10:09:17.000
67,13,Ali Forever,2006,1,2,2006-02-15 10:09:17.000
68,13,Ali Forever,2006,1,2,2006-02-15 10:09:17.000
69,13,Ali Forever,2006,1,2,2006-02-15 10:09:17.000
70,13,Ali Forever,2006,1,2,2006-02-15 10:09:17.000
71,15,Alien Center,2006,1,1,2006-02-15 10:09:17.000
72,15,Alien Center,2006,1,1,2006-02-15 10:09:17.000
73,15,Alien Center,2006,1,2,2006-02-15 10:09:17.000
74,15,Alien Center,2006,1,2,2006-02-15 10:09:17.000
75,15,Alien Center,2006,1,2,2006-02-15 10:09:17.000
76,15,Alien Center,2006,1,2,2006-02-15 10:09:17.000
77,16,Alley Evolution,2006,1,1,2006-02-15 10:09:17.000
78,16,Alley Evolution,2006,1,1,2006-02-15 10:09:17.000
79,16,Alley Evolution,2006,1,2,2006-02-15 10:09:17.000
80,16,Alley Evolution,2006,1,2,2006-02-15 10:09:17.000
81,17,Alone Trip,2006,1,1,2006-02-15 10:09:17.000
82,17,Alone Trip,2006,1,1,2006-02-15 10:09:17.000
83,17,Alone Trip,2006,1,1,2006-02-15 10:09:17.000
84,17,Alone Trip,2006,1,2,2006-02-15 10:09:17.000
85,17,Alone Trip,2006,1,2,2006-02-15 10:09:17.000
86,17,Alone Trip,2006,1,2,2006-02-15 10:09:17.000
87,18,Alter Victory,2006,1,1,2006-02-15 10:09:17.000
88,18,Alter Victory,2006,1,1,2006-02-15 10:09:17.000
89,18,Alter Victory,2006,1,1,2006-02-15 10:09:17.000
90,18,Alter Victory,2006,1,2,2006-02-15 10:09:17.000
91,18,Alter Victory,2006,1,2,2006-02-15 10:09:17.000
92,18,Alter Victory,2006,1,2,2006-02-15 10:09:17.000
93,19,Amadeus Holy,2006,1,1,2006-02-15 10:09:17.000
94,19,Amadeus Holy,2006,1,1,2006-02-15 10:09:17.000
95,19,Amadeus Holy,2006,1,1,2006-02-15 10:09:17.000
96,19,Amadeus Holy,2006,1,1,2006-02-15 10:09:17.000
97,19,Amadeus Holy,2006,1,2,2006-02-15 10:09:17.000
98,19,Amadeus Holy,2006,1,2,2006-02-15 10:09:17.000
99,20,Amelie Hellfighters,2006,1,1,2006-02-15 10:09:17.000
100,20,Amelie Hellfighters,2006,1,1,2006-02-15 10:09:17.000
101,20,Amelie Hellfighters,2006,1,1,2006-02-15 10:09:17.000
102,21,American Circus,2006,1,1,2006-02-15 10:09:17.000
103,21,American Circus,2006,1,1,2006-02-15 10:09:17.000
104,21,American Circus,2006,1,2,2006-02-15 10:09:17.000
105,21,American Circus,2006,1,2,2006-02-15 10:09:17.000
106,21,American Circus,2006,1,2,2006-02-15 10:09:17.000
107,21,American Circus,2006,1,2,2006-02-15 10:09:17.000
108,22,Amistad Midsummer,2006,1,1,2006-02-15 10:09:17.000
109,22,Amistad Midsummer,2006,1,1,2006-02-15 10:09:17.000
110,22,Amistad Midsummer,2006,1,1,2006-02-15 10:09:17.000
111,22,Amistad Midsummer,2006,1,1,2006-02-15 10:09:17.000
112,22,Amistad Midsummer,2006,1,2,2006-02-15 10:09:17.000
113,22,Amistad Midsummer,2006,1,2,2006-02-15 10:09:17.000
114,22,Amistad Midsummer,2006,1,2,2006-02-15 10:09:17.000
115,23,Anaconda Confessions,2006,1,1,2006-02-15 10:09:17.000
116,23,Anaconda Confessions,2006,1,1,2006-02-15 10:09:17.000
117,23,Anaconda Confessions,2006,1,1,2006-02-15 10:09:17.000
118,23,Anaconda Confessions,2006,1,2,2006-02-15 10:09:17.000
119,23,Anaconda Confessions,2006,1,2,2006-02-15 10:09:17.000
120,24,Analyze Hoosiers,2006,1,1,2006-02-15 10:09:17.000
121,24,Analyze Hoosiers,2006,1,1,2006-02-15 10:09:17.000
122,24,Analyze Hoosiers,2006,1,1,2006-02-15 10:09:17.000
123,24,Analyze Hoosiers,2006,1,1,2006-02-15 10:09:17.000
124,25,Angels Life,2006,1,1,2006-02-15 10:09:17.000
125,25,Angels Life,2006,1,1,2006-02-15 10:09:17.000
126,25,Angels Life,2006,1,1,2006-02-15 10:09:17.000
127,25,Angels Life,2006,1,1,2006-02-15 10:09:17.000
128,25,Angels Life,2006,1,2,2006-02-15 10:09:17.000
129,25,Angels Life,2006,1,2,2006-02-15 10:09:17.000
130,26,Annie Identity,2006,1,1,2006-02-15 10:09:17.000
131,26,Annie Identity,2006,1,1,2006-02-15 10:09:17.000
132,26,Annie Identity,2006,1,2,2006-02-15 10:09:17.000
133,26,Annie Identity,2006,1,2,2006-02-15 10:09:17.000
134,26,Annie Identity,2006,1,2,2006-02-15 10:09:17.000
135,27,Anonymous Human,2006,1,1,2006-02-15 10:09:17.000
136,27,Anonymous Human,2006,1,1,2006-02-15 10:09:17.000
137,27,Anonymous Human,2006,1,1,2006-02-15 10:09:17.000
138,27,Anonymous Human,2006,1,1,2006-02-15 10:09:17.000
139,28,Anthem Luke,2006,1,1,2006-02-15 10:09:17.000
140,28,Anthem Luke,2006,1,1,2006-02-15 10:09:17.000
141,28,Anthem Luke,2006,1,1,2006-02-15 10:09:17.000
142,29,Antitrust Tomatoes,2006,1,1,2006-02-15 10:09:17.000
143,29,Antitrust Tomatoes,2006,1,1,2006-02-15 10:09:17.000
144,30,Anything Savannah,2006,1,1,2006-02-15 10:09:17.000
145,30,Anything Savannah,2006,1,1,2006-02-15 10:09:17.000
146,31,Apache Divine,2006,1,1,2006-02-15 10:09:17.000
147,31,Apache Divine,2006,1,1,2006-02-15 10:09:17.000
148,31,Apache Divine,2006,1,1,2006-02-15 10:09:17.000
149,31,Apache Divine,2006,1,1,2006-02-15 10:09:17.000
150,31,Apache Divine,2006,1,2,2006-02-15 10:09:17.000
151,31,Apache Divine,2006,1,2,2006-02-15 10:09:17.000
152,31,Apache Divine,2006,1,2,2006-02-15 10:09:17.000
153,31,Apache Divine,2006,1,2,2006-02-15 10:09:17.000
154,32,Apocalypse Flamingos,2006,1,2,2006-02-15 10:09:17.000
155,32,Apocalypse Flamingos,2006,1,2,2006-02-15 10:09:17.000
156,34,Arabia Dogma,2006,1,2,2006-02-15 10:09:17.000
157,34,Arabia Dogma,2006,1,2,2006-02-15 10:09:17.000
158,34,Arabia Dogma,2006,1,2,2006-02-15 10:09:17.000
159,34,Arabia Dogma,2006,1,2,2006-02-15 10:09:17.000
160,35,Arachnophobia Rollercoaster,2006,1,1,2006-02-15 10:09:17.000
161,35,Arachnophobia Rollercoaster,2006,1,1,2006-02-15 10:09:17.000
162,35,Arachnophobia Rollercoaster,2006,1,1,2006-02-15 10:09:17.000
163,35,Arachnophobia Rollercoaster,2006,1,1,2006-02-15 10:09:17.000
164,35,Arachnophobia Rollercoaster,2006,1,2,2006-02-15 10:09:17.000
165,35,Arachnophobia Rollercoaster,2006,1,2,2006-02-15 10:09:17.000
166,35,Arachnophobia Rollercoaster,2006,1,2,2006-02-15 10:09:17.000
167,37,Arizona Bang,2006,1,1,2006-02-15 10:09:17.000
168,37,Arizona Bang,2006,1,1,2006-02-15 10:09:17.000
169,37,Arizona Bang,2006,1,1,2006-02-15 10:09:17.000
170,37,Arizona Bang,2006,1,1,2006-02-15 10:09:17.000
171,37,Arizona Bang,2006,1,2,2006-02-15 10:09:17.000
172,37,Arizona Bang,2006,1,2,2006-02-15 10:09:17.000
173,37,Arizona Bang,2006,1,2,2006-02-15 10:09:17.000
174,39,Armageddon Lost,2006,1,1,2006-02-15 10:09:17.000
175,39,Armageddon Lost,2006,1,1,2006-02-15 10:09:17.000
176,39,Armageddon Lost,2006,1,1,2006-02-15 10:09:17.000
177,39,Armageddon Lost,2006,1,2,2006-02-15 10:09:17.000
178,39,Armageddon Lost,2006,1,2,2006-02-15 10:09:17.000
179,39,Armageddon Lost,2006,1,2,2006-02-15 10:09:17.000
180,39,Armageddon Lost,2006,1,2,2006-02-15 10:09:17.000
181,40,Army Flintstones,2006,1,2,2006-02-15 10:09:17.000
182,40,Army Flintstones,2006,1,2,2006-02-15 10:09:17.000
183,40,Army Flintstones,2006,1,2,2006-02-15 10:09:17.000
184,40,Army Flintstones,2006,1,2,2006-02-15 10:09:17.000
185,42,Artist Coldblooded,2006,1,2,2006-02-15 10:09:17.000
186,42,Artist Coldblooded,2006,1,2,2006-02-15 10:09:17.000
187,42,Artist Coldblooded,2006,1,2,2006-02-15 10:09:17.000
188,42,Artist Coldblooded,2006,1,2,2006-02-15 10:09:17.000
189,43,Atlantis Cause,2006,1,1,2006-02-15 10:09:17.000
190,43,Atlantis Cause,2006,1,1,2006-02-15 10:09:17.000
191,43,Atlantis Cause,2006,1,1,2006-02-15 10:09:17.000
192,43,Atlantis Cause,2006,1,2,2006-02-15 10:09:17.000
193,43,Atlantis Cause,2006,1,2,2006-02-15 10:09:17.000
194,43,Atlantis Cause,2006,1,2,2006-02-15 10:09:17.000
195,43,Atlantis Cause,2006,1,2,2006-02-15 10:09:17.000
196,44,Attacks Hate,2006,1,1,2006-02-15 10:09:17.000
197,44,Attacks Hate,2006,1,1,2006-02-15 10:09:17.000
198,44,Attacks Hate,2006,1,2,2006-02-15 10:09:17.000
199,44,Attacks Hate,2006,1,2,2006-02-15 10:09:17.000
200,44,Attacks Hate,2006,1,2,2006-02-15 10:09:17.000
201,45,Attraction Newton,2006,1,1,2006-02-15 10:09:17.000
202,45,Attraction Newton,2006,1,1,2006-02-15 10:09:17.000
203,45,Attraction Newton,2006,1,1,2006-02-15 10:09:17.000
204,45,Attraction Newton,2006,1,1,2006-02-15 10:09:17.000
205,45,Attraction Newton,2006,1,2,2006-02-15 10:09:17.000
206,45,Attraction Newton,2006,1,2,2006-02-15 10:09:17.000
207,46,Autumn Crow,2006,1,2,2006-02-15 10:09:17.000
208,46,Autumn Crow,2006,1,2,2006-02-15 10:09:17.000
209,46,Autumn Crow,2006,1,2,2006-02-15 10:09:17.000
210,47,Baby Hall,2006,1,2,2006-02-15 10:09:17.000
211,47,Baby Hall,2006,1,2,2006-02-15 10:09:17.000
212,48,Backlash Undefeated,2006,1,1,2006-02-15 10:09:17.000
213,48,Backlash Undefeated,2006,1,1,2006-02-15 10:09:17.000
214,48,Backlash Undefeated,2006,1,2,2006-02-15 10:09:17.000
215,48,Backlash Undefeated,2006,1,2,2006-02-15 10:09:17.000
216,49,Badman Dawn,2006,1,1,2006-02-15 10:09:17.000
217,49,Badman Dawn,2006,1,1,2006-02-15 10:09:17.000
218,49,Badman Dawn,2006,1,1,2006-02-15 10:09:17.000
219,49,Badman Dawn,2006,1,2,2006-02-15 10:09:17.000
220,49,Badman Dawn,2006,1,2,2006-02-15 10:09:17.000
221,49,Badman Dawn,2006,1,2,2006-02-15 10:09:17.000
222,50,Baked Cleopatra,2006,1,1,2006-02-15 10:09:17.000
223,50,Baked Cleopatra,2006,1,1,2006-02-15 10:09:17.000
224,50,Baked Cleopatra,2006,1,1,2006-02-15 10:09:17.000
225,50,Baked Cleopatra,2006,1,2,2006-02-15 10:09:17.000
226,50,Baked Cleopatra,2006,1,2,2006-02-15 10:09:17.000
227,51,Balloon Homeward,2006,1,1,2006-02-15 10:09:17.000
228,51,Balloon Homeward,2006,1,1,2006-02-15 10:09:17.000
229,51,Balloon Homeward,2006,1,2,2006-02-15 10:09:17.000
230,51,Balloon Homeward,2006,1,2,2006-02-15 10:09:17.000
231,51,Balloon Homeward,2006,1,2,2006-02-15 10:09:17.000
232,51,Balloon Homeward,2006,1,2,2006-02-15 10:09:17.000
233,52,Ballroom Mockingbird,2006,1,2,2006-02-15 10:09:17.000
234,52,Ballroom Mockingbird,2006,1,2,2006-02-15 10:09:17.000
235,53,Bang Kwai,2006,1,1,2006-02-15 10:09:17.000
236,53,Bang Kwai,2006,1,1,2006-02-15 10:09:17.000
237,54,Banger Pinocchio,2006,1,1,2006-02-15 10:09:17.000
238,54,Banger Pinocchio,2006,1,1,2006-02-15 10:09:17.000
239,54,Banger Pinocchio,2006,1,1,2006-02-15 10:09:17.000
240,54,Banger Pinocchio,2006,1,2,2006-02-15 10:09:17.000
241,54,Banger Pinocchio,2006,1,2,2006-02-15 10:09:17.000
242,55,Barbarella Streetcar,2006,1,1,2006-02-15 10:09:17.000
243,55,Barbarella Streetcar,2006,1,1,2006-02-15 10:09:17.000
244,55,Barbarella Streetcar,2006,1,1,2006-02-15 10:09:17.000
245,55,Barbarella Streetcar,2006,1,1,2006-02-15 10:09:17.000
246,55,Barbarella Streetcar,2006,1,2,2006-02-15 10:09:17.000
247,55,Barbarella Streetcar,2006,1,2,2006-02-15 10:09:17.000
248,56,Barefoot Manchurian,2006,1,1,2006-02-15 10:09:17.000
249,56,Barefoot Manchurian,2006,1,1,2006-02-15 10:09:17.000
250,56,Barefoot Manchurian,2006,1,1,2006-02-15 10:09:17.000
251,56,Barefoot Manchurian,2006,1,2,2006-02-15 10:09:17.000
252,56,Barefoot Manchurian,2006,1,2,2006-02-15 10:09:17.000
253,57,Basic Easy,2006,1,1,2006-02-15 10:09:17.000
254,57,Basic Easy,2006,1,1,2006-02-15 10:09:17.000
255,57,Basic Easy,2006,1,1,2006-02-15 10:09:17.000
256,57,Basic Easy,2006,1,1,2006-02-15 10:09:17.000
257,57,Basic Easy,2006,1,2,2006-02-15 10:09:17.000
258,57,Basic Easy,2006,1,2,2006-02-15 10:09:17.000
259,57,Basic Easy,2006,1,2,2006-02-15 10:09:17.000
260,58,Beach Heartbreakers,2006,1,2,2006-02-15 10:09:17.000
261,58,Beach Heartbreakers,2006,1,2,2006-02-15 10:09:17.000
262,58,Beach Heartbreakers,2006,1,2,2006-02-15 10:09:17.000
263,58,Beach Heartbreakers,2006,1,2,2006-02-15 10:09:17.000
264,59,Bear Graceland,2006,1,1,2006-02-15 10:09:17.000
265,59,Bear Graceland,2006,1,1,2006-02-15 10:09:17.000
266,59,Bear Graceland,2006,1,1,2006-02-15 10:09:17.000
267,59,Bear Graceland,2006,1,2,2006-02-15 10:09:17.000
268,59,Bear Graceland,2006,1,2,2006-02-15 10:09:17.000
269,60,Beast Hunchback,2006,1,1,2006-02-15 10:09:17.000
270,60,Beast Hunchback,2006,1,1,2006-02-15 10:09:17.000
271,60,Beast Hunchback,2006,1,1,2006-02-15 10:09:17.000
272,61,Beauty Grease,2006,1,1,2006-02-15 10:09:17.000
273,61,Beauty Grease,2006,1,1,2006-02-15 10:09:17.000
274,61,Beauty Grease,2006,1,1,2006-02-15 10:09:17.000
275,61,Beauty Grease,2006,1,1,2006-02-15 10:09:17.000
276,61,Beauty Grease,2006,1,2,2006-02-15 10:09:17.000
277,61,Beauty Grease,2006,1,2,2006-02-15 10:09:17.000
278,62,Bed Highball,2006,1,2,2006-02-15 10:09:17.000
279,62,Bed Highball,2006,1,2,2006-02-15 10:09:17.000
280,63,Bedazzled Married,2006,1,1,2006-02-15 10:09:17.000
281,63,Bedazzled Married,2006,1,1,2006-02-15 10:09:17.000
282,63,Bedazzled Married,2006,1,2,2006-02-15 10:09:17.000
283,63,Bedazzled Married,2006,1,2,2006-02-15 10:09:17.000
284,64,Beethoven Exorcist,2006,1,2,2006-02-15 10:09:17.000
285,64,Beethoven Exorcist,2006,1,2,2006-02-15 10:09:17.000
286,64,Beethoven Exorcist,2006,1,2,2006-02-15 10:09:17.000
287,65,Behavior Runaway,2006,1,2,2006-02-15 10:09:17.000
288,65,Behavior Runaway,2006,1,2,2006-02-15 10:09:17.000
289,65,Behavior Runaway,2006,1,2,2006-02-15 10:09:17.000
290,65,Behavior Runaway,2006,1,2,2006-02-15 10:09:17.000
291,66,Beneath Rush,2006,1,1,2006-02-15 10:09:17.000
292,66,Beneath Rush,2006,1,1,2006-02-15 10:09:17.000
293,66,Beneath Rush,2006,1,1,2006-02-15 10:09:17.000
294,67,Berets Agent,2006,1,1,2006-02-15 10:09:17.000
295,67,Berets Agent,2006,1,1,2006-02-15 10:09:17.000
296,67,Berets Agent,2006,1,2,2006-02-15 10:09:17.000
297,67,Berets Agent,2006,1,2,2006-02-15 10:09:17.000
298,67,Berets Agent,2006,1,2,2006-02-15 10:09:17.000
299,67,Berets Agent,2006,1,2,2006-02-15 10:09:17.000
300,68,Betrayed Rear,2006,1,1,2006-02-15 10:09:17.000
301,68,Betrayed Rear,2006,1,1,2006-02-15 10:09:17.000
302,68,Betrayed Rear,2006,1,2,2006-02-15 10:09:17.000
303,68,Betrayed Rear,2006,1,2,2006-02-15 10:09:17.000
304,69,Beverly Outlaw,2006,1,1,2006-02-15 10:09:17.000
305,69,Beverly Outlaw,2006,1,1,2006-02-15 10:09:17.000
306,69,Beverly Outlaw,2006,1,1,2006-02-15 10:09:17.000
307,69,Beverly Outlaw,2006,1,1,2006-02-15 10:09:17.000
308,69,Beverly Outlaw,2006,1,2,2006-02-15 10:09:17.000
309,69,Beverly Outlaw,2006,1,2,2006-02-15 10:09:17.000
310,69,Beverly Outlaw,2006,1,2,2006-02-15 10:09:17.000
311,69,Beverly Outlaw,2006,1,2,2006-02-15 10:09:17.000
312,70,Bikini Borrowers,2006,1,1,2006-02-15 10:09:17.000
313,70,Bikini Borrowers,2006,1,1,2006-02-15 10:09:17.000
314,70,Bikini Borrowers,2006,1,2,2006-02-15 10:09:17.000
315,70,Bikini Borrowers,2006,1,2,2006-02-15 10:09:17.000
316,71,Bilko Anonymous,2006,1,2,2006-02-15 10:09:17.000
317,71,Bilko Anonymous,2006,1,2,2006-02-15 10:09:17.000
318,71,Bilko Anonymous,2006,1,2,2006-02-15 10:09:17.000
319,71,Bilko Anonymous,2006,1,2,2006-02-15 10:09:17.000
320,72,Bill Others,2006,1,1,2006-02-15 10:09:17.000
321,72,Bill Others,2006,1,1,2006-02-15 10:09:17.000
322,72,Bill Others,2006,1,1,2006-02-15 10:09:17.000
323,72,Bill Others,2006,1,1,2006-02-15 10:09:17.000
324,72,Bill Others,2006,1,2,2006-02-15 10:09:17.000
325,72,Bill Others,2006,1,2,2006-02-15 10:09:17.000
326,73,Bingo Talented,2006,1,1,2006-02-15 10:09:17.000
327,73,Bingo Talented,2006,1,1,2006-02-15 10:09:17.000
328,73,Bingo Talented,2006,1,1,2006-02-15 10:09:17.000
329,73,Bingo Talented,2006,1,1,2006-02-15 10:09:17.000
330,73,Bingo Talented,2006,1,2,2006-02-15 10:09:17.000
331,73,Bingo Talented,2006,1,2,2006-02-15 10:09:17.000
332,73,Bingo Talented,2006,1,2,2006-02-15 10:09:17.000
333,73,Bingo Talented,2006,1,2,2006-02-15 10:09:17.000
334,74,Birch Antitrust,2006,1,1,2006-02-15 10:09:17.000
335,74,Birch Antitrust,2006,1,1,2006-02-15 10:09:17.000
336,74,Birch Antitrust,2006,1,1,2006-02-15 10:09:17.000
337,74,Birch Antitrust,2006,1,2,2006-02-15 10:09:17.000
338,74,Birch Antitrust,2006,1,2,2006-02-15 10:09:17.000
339,75,Bird Independence,2006,1,2,2006-02-15 10:09:17.000
340,75,Bird Independence,2006,1,2,2006-02-15 10:09:17.000
341,75,Bird Independence,2006,1,2,2006-02-15 10:09:17.000
342,76,Birdcage Casper,2006,1,1,2006-02-15 10:09:17.000
343,76,Birdcage Casper,2006,1,1,2006-02-15 10:09:17.000
344,76,Birdcage Casper,2006,1,1,2006-02-15 10:09:17.000
345,77,Birds Perdition,2006,1,1,2006-02-15 10:09:17.000
346,77,Birds Perdition,2006,1,1,2006-02-15 10:09:17.000
347,77,Birds Perdition,2006,1,1,2006-02-15 10:09:17.000
348,77,Birds Perdition,2006,1,1,2006-02-15 10:09:17.000
349,77,Birds Perdition,2006,1,2,2006-02-15 10:09:17.000
350,77,Birds Perdition,2006,1,2,2006-02-15 10:09:17.000
351,78,Blackout Private,2006,1,1,2006-02-15 10:09:17.000
352,78,Blackout Private,2006,1,1,2006-02-15 10:09:17.000
353,78,Blackout Private,2006,1,1,2006-02-15 10:09:17.000
354,78,Blackout Private,2006,1,2,2006-02-15 10:09:17.000
355,78,Blackout Private,2006,1,2,2006-02-15 10:09:17.000
356,78,Blackout Private,2006,1,2,2006-02-15 10:09:17.000
357,78,Blackout Private,2006,1,2,2006-02-15 10:09:17.000
358,79,Blade Polish,2006,1,1,2006-02-15 10:09:17.000
359,79,Blade Polish,2006,1,1,2006-02-15 10:09:17.000
360,79,Blade Polish,2006,1,1,2006-02-15 10:09:17.000
361,79,Blade Polish,2006,1,2,2006-02-15 10:09:17.000
362,79,Blade Polish,2006,1,2,2006-02-15 10:09:17.000
363,79,Blade Polish,2006,1,2,2006-02-15 10:09:17.000
364,80,Blanket Beverly,2006,1,1,2006-02-15 10:09:17.000
365,80,Blanket Beverly,2006,1,1,2006-02-15 10:09:17.000
366,80,Blanket Beverly,2006,1,1,2006-02-15 10:09:17.000
367,80,Blanket Beverly,2006,1,1,2006-02-15 10:09:17.000
368,81,Blindness Gun,2006,1,1,2006-02-15 10:09:17.000
369,81,Blindness Gun,2006,1,1,2006-02-15 10:09:17.000
370,81,Blindness Gun,2006,1,1,2006-02-15 10:09:17.000
371,81,Blindness Gun,2006,1,1,2006-02-15 10:09:17.000
372,82,Blood Argonauts,2006,1,1,2006-02-15 10:09:17.000
373,82,Blood Argonauts,2006,1,1,2006-02-15 10:09:17.000
374,83,Blues Instinct,2006,1,1,2006-02-15 10:09:17.000
375,83,Blues Instinct,2006,1,1,2006-02-15 10:09:17.000
376,83,Blues Instinct,2006,1,1,2006-02-15 10:09:17.000
377,83,Blues Instinct,2006,1,2,2006-02-15 10:09:17.000
378,83,Blues Instinct,2006,1,2,2006-02-15 10:09:17.000
379,84,Boiled Dares,2006,1,1,2006-02-15 10:09:17.000
380,84,Boiled Dares,2006,1,1,2006-02-15 10:09:17.000
381,84,Boiled Dares,2006,1,1,2006-02-15 10:09:17.000
382,84,Boiled Dares,2006,1,1,2006-02-15 10:09:17.000
383,85,Bonnie Holocaust,2006,1,2,2006-02-15 10:09:17.000
384,85,Bonnie Holocaust,2006,1,2,2006-02-15 10:09:17.000
385,85,Bonnie Holocaust,2006,1,2,2006-02-15 10:09:17.000
386,85,Bonnie Holocaust,2006,1,2,2006-02-15 10:09:17.000
387,86,Boogie Amelie,2006,1,1,2006-02-15 10:09:17.000
388,86,Boogie Amelie,2006,1,1,2006-02-15 10:09:17.000
389,86,Boogie Amelie,2006,1,1,2006-02-15 10:09:17.000
390,86,Boogie Amelie,2006,1,1,2006-02-15 10:09:17.000
391,86,Boogie Amelie,2006,1,2,2006-02-15 10:09:17.000
392,86,Boogie Amelie,2006,1,2,2006-02-15 10:09:17.000
393,86,Boogie Amelie,2006,1,2,2006-02-15 10:09:17.000
394,86,Boogie Amelie,2006,1,2,2006-02-15 10:09:17.000
395,88,Born Spinal,2006,1,2,2006-02-15 10:09:17.000
396,88,Born Spinal,2006,1,2,2006-02-15 10:09:17.000
397,88,Born Spinal,2006,1,2,2006-02-15 10:09:17.000
398,88,Born Spinal,2006,1,2,2006-02-15 10:09:17.000
399,89,Borrowers Bedazzled,2006,1,1,2006-02-15 10:09:17.000
400,89,Borrowers Bedazzled,2006,1,1,2006-02-15 10:09:17.000
401,89,Borrowers Bedazzled,2006,1,1,2006-02-15 10:09:17.000
402,89,Borrowers Bedazzled,2006,1,2,2006-02-15 10:09:17.000
